ncm;descricao;categoria;fundamento_legal;vigencia_inicio;vigencia_fim
90181100;Eletrocardiógrafos;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90181980;Eletroencefalógrafos e outros aparelhos de eletrodiagnóstico;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90182000;Aparelhos de raios ultravioleta ou infravermelhos;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90211010;Artigos e aparelhos ortopédicos;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90211020;Artigos e aparelhos para fraturas;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90213000;Próteses (exceto dentárias);SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90221200;Tomógrafo computadorizado;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90221300;Aparelhos de raio X móveis;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90222110;Aparelho de radiocobalto (bomba de cobalto);SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90189099;Aparelho de crioterapia;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90222120;Aparelho de gamaterapia;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90222190;Aparelhos de radioterapia e radiofotografia;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90250000;Instrumentos de medição fisiológica (termômetros, higrômetros, etc.);SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90192040;Respirador;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90181980;Monitor multiparâmetros;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90189010;Bomba de infusão;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90181300;Aparelhos de ressonância magnética;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
90181200;Aparelhos de ultrassom;SAUDE;LC 214/2025 Anexo XII;2026-01-01;
