anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO XVI;1;Ano;"Limite Inferior para 
			Fixação da Alíquota Própria em Proporção da Alíquota de Referência";;;;
ANEXO XVI;2;2029;81,0%;;;;
ANEXO XVI;3;2030;81,0%;;;;
ANEXO XVI;4;2031;81,0%;;;;
ANEXO XVI;5;2032;81,0%;;;;
ANEXO XVI;6;2033;90,5%;;;;
ANEXO XVI;7;2034;88,6%;;;;
ANEXO XVI;8;2035;86,7%;;;;
ANEXO XVI;9;2036;84,8%;;;;
ANEXO XVI;10;2037;82,9%;;;;
ANEXO XVI;11;2038;81,0%;;;;
ANEXO XVI;12;2039;79,1%;;;;
ANEXO XVI;13;2040;77,2%;;;;
ANEXO XVI;14;2041;75,3%;;;;
ANEXO XVI;15;2042;73,4%;;;;
ANEXO XVI;16;2043;71,5%;;;;
ANEXO XVI;17;2044;69,6%;;;;
ANEXO XVI;18;2045;67,7%;;;;
ANEXO XVI;19;2046;65,8%;;;;
ANEXO XVI;20;2047;63,9%;;;;
ANEXO XVI;21;2048;62,0%;;;;
ANEXO XVI;22;2049;60,1%;;;;
ANEXO XVI;23;2050;58,2%;;;;
ANEXO XVI;24;2051;56,3%;;;;
ANEXO XVI;25;2052;54,4%;;;;
ANEXO XVI;26;2053;52,5%;;;;
ANEXO XVI;27;2054;50,6%;;;;
ANEXO XVI;28;2055;48,7%;;;;
ANEXO XVI;29;2056;46,8%;;;;
ANEXO XVI;30;2057;44,9%;;;;
ANEXO XVI;31;2058;43,0%;;;;
ANEXO XVI;32;2059;41,1%;;;;
ANEXO XVI;33;2060;39,2%;;;;
ANEXO XVI;34;2061;37,3%;;;;
ANEXO XVI;35;2062;35,4%;;;;
ANEXO XVI;36;2063;33,5%;;;;
ANEXO XVI;37;2064;31,6%;;;;
ANEXO XVI;38;2065;29,7%;;;;
ANEXO XVI;39;2066;27,8%;;;;
ANEXO XVI;40;2067;25,9%;;;;
ANEXO XVI;41;2068;24,0%;;;;
ANEXO XVI;42;2069;22,1%;;;;
ANEXO XVI;43;2070;20,2%;;;;
ANEXO XVI;44;2071;18,3%;;;;
ANEXO XVI;45;2072;16,4%;;;;
ANEXO XVI;46;2073;14,5%;;;;
ANEXO XVI;47;2074;12,6%;;;;
ANEXO XVI;48;2075;10,7%;;;;
ANEXO XVI;49;2076;8,8%;;;;
ANEXO XVI;50;2077;6,9%;;;;
