anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO VI;1;ITEM;DESCRIÇÃO;NCM/SH;;;
ANEXO VI;2;1;"Acetato de 
			dextroalfatocoferol";2936.28.12;;;
ANEXO VI;3;2;Acetato de lisina;2922.41.90;;;
ANEXO VI;4;3;Acetato de potássio;2915.29.90;;;
ANEXO VI;5;4;Acetato de sódio;2915.29.10;;;
ANEXO VI;6;5;Acetato de zinco;2915.29.90;;;
ANEXO VI;7;6;Acetiltirosina;2922.50.39;;;
ANEXO VI;8;7;Ácido acético;2915.21.00;;;
ANEXO VI;9;8;Ácido ascórbico;2936.27.10;;;
ANEXO VI;10;9;Ácido aspártico;2922.49.90;;;
ANEXO VI;11;10;Ácido cítrico;2918.14.00;;;
ANEXO VI;12;11;Ácido fólico;2936.29.11;;;
ANEXO VI;13;12;Ácido glutâmico;2922.42.10;;;
ANEXO VI;14;13;Ácido málico;2918.19.90;;;
ANEXO VI;15;14;Ácido selenioso;2811.19.90;;;
ANEXO VI;16;15;Água para injeção;2002.10.00;;;
ANEXO VI;17;16;Alanilglutamina;2922.49.90;;;
ANEXO VI;18;17;Alanina;2922.49.90;;;
ANEXO VI;19;18;Albumina humana;3002.12.36;;;
ANEXO VI;20;19;Arginina;2925.29.19;;;
ANEXO VI;21;20;Asparagina;2922.49.90;;;
ANEXO VI;22;21;Bicarbonato de sódio;2836.30.00;;;
ANEXO VI;23;22;Biotina;2936.29.31;;;
ANEXO VI;24;23;Cianocobalamina;2936.26.10;;;
ANEXO VI;25;24;Cistina;2930.90.39;;;
ANEXO VI;26;25;Cloreto crômico;2827.39.93;;;
ANEXO VI;27;26;Cloreto de cálcio;2827.20.10 2827.20.90;;;
ANEXO VI;28;27;Cloreto de magnésio;2827.31.10 2827.31.90;;;
ANEXO VI;29;28;Cloreto de manganês;2827.39.95;;;
ANEXO VI;30;29;Cloreto de potássio;3104.20.10 3104.20.90;;;
ANEXO VI;31;30;Cloreto de sódio;2501.00.90;;;
ANEXO VI;32;31;Cloreto de zinco;2827.39.98;;;
ANEXO VI;33;32;Cloridrato de piridoxina;2936.25.20;;;
ANEXO VI;34;33;Cloridrato de tiamina;2936.22.10;;;
ANEXO VI;35;34;Cocarboxilase;2936.22.90;;;
ANEXO VI;36;35;Colecalciferol;2936.29.21;;;
ANEXO VI;37;36;Ergocalciferol;2936.29.29;;;
ANEXO VI;38;37;Fenilalanina;2922.49.90;;;
ANEXO VI;39;38;Fitomenadiona;2936.29.40;;;
ANEXO VI;40;39;"Fórmula para dieta 
			isenta de fenilalanina";2106.90.90;;;
ANEXO VI;41;40;"Fórmula para dieta 
			isenta demetionina";2106.90.90;;;
ANEXO VI;42;41;"Fórmula para dieta 
			isenta de lisina e pobre de triptofano";2106.90.90;;;
ANEXO VI;43;42;"Fórmula para dieta 
			isenta de leucina, de isoleucina ou de valina";2106.90.90;;;
ANEXO VI;44;43;"Fórmula para dieta 
			isenta de fenilalanina e de metionina";2106.90.90;;;
ANEXO VI;45;44;"Fórmula para dieta 
			isenta de aminoácidos não essenciais";2106.90.90;;;
ANEXO VI;46;45;"Fórmula para dieta 
			isenta de metionina, de treonina, de valina e restrita de isoleucina";2106.90.90;;;
ANEXO VI;47;46;"Fórmula para dieta 
			cetogênica, na proporção de 4 g de gordura para cada 1 g de 
			carboidratos e proteínas";2106.90.90;;;
ANEXO VI;48;47;"Fórmula hiperlipídica, 
			para suplementação de triglicerídios de cadeia média ou 
			triheptanoína";2202.99.00;;;
ANEXO VI;49;48;"Preparação líquida, de 
			quatro partes de trioleato de glicerol de ácido para uma parte de 
			trierucato de glicerol";2202.99.00;;;
ANEXO VI;50;49;"Fosfato de potássio 
			dibásico";2835.24.00;;;
ANEXO VI;51;50;"Fosfato de potássio 
			monobásico";2835.24.00;;;
ANEXO VI;52;51;"Fosfato de sódio 
			monobásico";2835.22.00;;;
ANEXO VI;53;52;"Fosfato de 
			tiamina";2936.22.90;;;
ANEXO VI;54;53;"Fosfato sódico de 
			riboflavina";2936.23.20;;;
ANEXO VI;55;54;Frutose;1702.50.00;;;
ANEXO VI;56;55;Glicerofosfato de sódio;2919.90.90;;;
ANEXO VI;57;56;Glicina;2922.49.10;;;
ANEXO VI;58;57;Gliconato de cálcio;2918.16.10;;;
ANEXO VI;59;58;Glicose;1702.30.11;;;
ANEXO VI;60;59;Histidina;2933.29.92;;;
ANEXO VI;61;60;Icodextrina;3505.10.00;;;
ANEXO VI;62;61;Iodeto de potássio;2827.60.12;;;
ANEXO VI;63;62;Isoleucina;2922.49.90;;;
ANEXO VI;64;63;Lecitina de ovo;2923.20.00;;;
ANEXO VI;65;64;Leucina;2922.49.90;;;
ANEXO VI;66;65;Levovalina;2922.49.90;;;
ANEXO VI;67;66;Lisina;2922.41.10;;;
ANEXO VI;68;67;Metionina;2930.40.10 2930.40.90;;;
ANEXO VI;69;68;Nicotinamida;2936.29.52;;;
ANEXO VI;70;69;Palmitato de retinol;2936.21.13;;;
ANEXO VI;71;70;Prolina;2922.49.90;;;
ANEXO VI;72;71;Riboflavina;2936.23.10;;;
ANEXO VI;73;72;Selenito de sódio;2842.90.00;;;
ANEXO VI;74;73;Serina;2922.50.99;;;
ANEXO VI;75;74;Sorbitol;2905.44.00;;;
ANEXO VI;76;75;Sulfato de magnésio;2833.21.00;;;
ANEXO VI;77;76;Sulfato de zinco;2833.29.70;;;
ANEXO VI;78;77;Taurina;2922.49.90;;;
ANEXO VI;79;78;Tirosina;2922.50.39;;;
ANEXO VI;80;79;Tocoferol;2936.28.11;;;
ANEXO VI;81;80;Treonina;2922.50.99;;;
ANEXO VI;82;81;"Triglicerídeos de cadeia 
			média";1513.19.00 1513.29.11;;;
