anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO X;1;ITEM;DESCRIÇÃO;NBS/NCM;;;
ANEXO X;2;1;"Licenciamento 
			de direitos de autor e de direitos conexos";1.1103;;;
ANEXO X;3;2;"Licenciamento de 
			direitos de obras literárias";1.1103.10.00;;;
ANEXO X;4;3;"Licenciamento de 
			direitos de autor de obras cinematográficas";1.1103.31.00;;;
ANEXO X;5;4;"Licenciamento de 
			direitos de autor de obras jornalísticas";1.1103.32.00;;;
ANEXO X;6;5;"Licenciamento de 
			direitos conexos de artistas intérpretes ou executantes em obras 
			audiovisuais";1.1103.34.00;;;
ANEXO X;7;6;"Licenciamento de 
			direitos conexos de produtores de obras audiovisuais";1.1103.35.00;;;
ANEXO X;8;7;"Licenciamento de 
			direitos de obras audiovisuais destinadas à televisão";1.1103.36;;;
ANEXO X;9;8;"Licenciamento de 
			direitos de obras musicais e fonogramas";1.1103.4;;;
ANEXO X;10;9;"Cessão temporária de 
			direitos de obras literárias";1.1106.10.00;;;
ANEXO X;11;10;"Cessão temporária de 
			direitos de autor de obras cinematográficas";1.1106.31.00;;;
ANEXO X;12;11;"Cessão temporária de 
			direitos de autor de obras jornalísticas";1.1106.32.00;;;
ANEXO X;13;12;"Cessão temporária de 
			direitos conexos de artistas intérpretes ou executantes em obras 
			audiovisuais";1.1106.34.00;;;
ANEXO X;14;13;"Cessão temporária de 
			direitos conexos de produtores de obras audiovisuais";1.1106.35.00;;;
ANEXO X;15;14;"Cessão temporária de 
			direitos de obras audiovisuais destinadas à televisão";1.1106.36;;;
ANEXO X;16;15;"Cessão temporária de 
			direitos de obras musicais e fonogramas";1.1106.4;;;
ANEXO X;17;16;"Cessão definitiva de 
			direitos de obras literárias";1.1107.10.00;;;
ANEXO X;18;17;"Cessão definitiva de 
			direitos de obras cinematográficas";1.1107.31.00;;;
ANEXO X;19;18;"Cessão definitiva de 
			direitos de obras jornalísticas";1.1107.32.00;;;
ANEXO X;20;19;"Cessão definitiva de 
			direitos de obras musicais e fonogramas";1.1107.40.00;;;
ANEXO X;21;20;"Serviços de agências de 
			notícias para jornais e periódicos";1.1704.10.00;;;
ANEXO X;22;21;"Serviços de 
			agências de notícias para mídia audiovisual";1. 1704.20.00;;;
ANEXO X;23;22;"Serviços de assistência 
			e organização de convenções, feiras de negócios, exposições e outros 
			eventos";1.1806.6;;;
ANEXO X;24;23;"Serviços de gravação de 
			som em estúdio destinados diretamente às produções nacionais 
			artísticas, culturais e audiovisuais";1.2501.11.00;;;
ANEXO X;25;24;"Serviços de gravação de 
			som ao vivo destinados diretamente às produções nacionais 
			artísticas, culturais e audiovisuais";1.2501.12.00;;;
ANEXO X;26;25;"Serviços de produção de 
			programas de televisão, videoteipes e filmes";1.2501.21.00;;;
ANEXO X;27;26;"Serviços de produção de 
			programas de rádio";1.2501.22.00;;;
ANEXO X;28;27;"Serviços de edição de 
			obras audiovisuais destinados diretamente às produções nacionais 
			artísticas, culturais e audiovisuais";1.2501.31.00;;;
ANEXO X;29;28;"Serviços de duplicação e 
			transferência de obras audiovisuais destinados diretamente às 
			produções nacionais artísticas, culturais e audiovisuais";1.2501.32.00;;;
ANEXO X;30;29;"Serviços de correção de 
			cor e restauração digital de obras audiovisuais destinados 
			diretamente às produções nacionais artísticas, culturais e 
			audiovisuais";1.2501.33.00;;;
ANEXO X;31;30;"Serviços de efeitos 
			visuais em obras audiovisuais destinados diretamente às produções 
			nacionais artísticas, culturais e audiovisuais";1.2501.34.00;;;
ANEXO X;32;31;"Serviços de animação 
			destinados diretamente às produções nacionais artísticas, culturais 
			e audiovisuais";1.2501.35.00;;;
ANEXO X;33;32;"Serviços de legendas, 
			títulos e dublagem em obras audiovisuais destinados diretamente às 
			produções nacionais artísticas, culturais e audiovisuais";1.2501.36.00;;;
ANEXO X;34;33;"Serviços de projeto e 
			edição de som em obras audiovisuais destinados diretamente às 
			produções nacionais artísticas, culturais e audiovisuais";1.2501.37.00;;;
ANEXO X;35;34;"Serviços de projeção de 
			filmes";1.2501.50.00;;;
ANEXO X;36;35;"Serviços de produção 
			audiovisual, de apoio e relacionados não classificados em 
			subposições anteriores";1.2501.90.00;;;
ANEXO X;37;36;"Serviços de 
			organização e promoção de atuações artísticas ao vivo";1.2502.10.00;;;
ANEXO X;38;37;"Serviços de 
			produção e apresentação de atuações artísticas ao vivo, inclusive os ingressos relativos a estes serviços";1.2502.20.00;;;
ANEXO X;39;38;"Serviços de atuação 
			artística";1.2503.10.00;;;
ANEXO X;40;39;"Serviços de autores, 
			compositores, escultores, pintores e outros artistas, exceto os de 
			atuação artística";1.2503.20.00;;;
ANEXO X;41;40;"Serviços de museus, 
			inclusive serviços relativos a mostras e coleções de arte";1.2504.11.00;;;
ANEXO X;42;41;"Serviços de reservas de 
			ingressos para eventos de produções nacionais artísticas, culturais 
			e audiovisuais";1.1805.32.00;;;
ANEXO X;43;42;"Fotografias artísticas 
			originais";4911.91.00;;;
ANEXO X;44;43;"Quadros, pinturas e 
			desenhos, artísticos originais";9701.91.00;;;
ANEXO X;45;44;"Gravuras, estampas e 
			litografias, artísticas originais";9702.90.00;;;
ANEXO X;46;45;"Produções originais de 
			arte estatutária ou de escultura";9703.90.00;;;
ANEXO X;47;46;"Licenciamento 
			de direitos conexos de artistas intérpretes ou executantes";1.1103.42.00;;;
ANEXO X;48;47;"Cessão 
			temporária de direitos de autor e de direitos conexos";1.1106;;;
ANEXO X;49;48;"Cessão 
			temporária de direitos conexos de artistas intérpretes ou 
			executantes";1.1106.42.00;;;
ANEXO X;50;49;"Licenciamento 
			de direitos de autor de obras teatrais";;;;
ANEXO X;51;50;"Licenciamento 
			de direitos conexos de produtores de obras teatrais";;;;
ANEXO X;52;51;"Licenciamento 
			de direitos conexos de artistas intérpretes ou executantes em obras 
			teatrais";;;;
ANEXO X;53;52;"Cessão 
			temporária de direitos de autor de obras teatrais";;;;
ANEXO X;54;53;"Cessão 
			temporária de direitos conexos de artistas intérpretes ou 
			executantes em obras teatrais";;;;
ANEXO X;55;54;"Cessão 
			temporária de direitos conexos de produtores intérpretes ou 
			executantes em obras teatrais";;;;
ANEXO X;56;55;"Serviços de 
			sonorização, iluminação, figurino, videografia e cenografia para 
			atuações artísticas ao vivo, destinados às produções de que trata o 
			art. 139 desta Lei Complementar";1.2502.30.00;;;
ANEXO X;57;56;"Serviços de 
			locação, montagem e desmontagem de palcos, destinados às produções 
			de que trata o art. 139 desta Lei Complementar";1.0105.70.00;;;
ANEXO X;58;57;"Serviços de 
			apresentação e promoção de atuações artísticas, inclusive gestão de 
			espaços destinados a apresentações de exposições de artes cênicas, 
			espetáculos e demais produções de que trata o art. 139 desta Lei 
			Complementar";1.2502.90.00;;;
