anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO XI;1;ITEM;DESCRIÇÃO;NBS / NCM/SH;;;
ANEXO XI;2;1;"SERVIÇOS RELACIONADOS À 
			SOBERANIA E À SEGURANÇA NACIONAL, À SEGURANÇA DA INFORMAÇÃO E À 
			SEGURANÇA CIBERNÉTICA";;;;
ANEXO XI;3;1.1;"Segurança em 
			Tecnologia da Informação (TI)";1.1501.20.00;;;
ANEXO XI;4;1.2;"Serviços de 
			projeto e desenvolvimento de aplicativos e programas em Tecnologia 
			da Informação (TI) não classificados em subposições anteriores";1.1502.90.00;;;
ANEXO XI;5;1.3;"Serviços de 
			Tecnologia da Informação (TI) não classificados em subposições 
			anteriores";1.1510.00.00;;;
ANEXO XI;6;1.4;(VETADO);1.1802.90.00;;;
ANEXO XI;7;1.5;(VETADO);1.1802.30.00;;;
ANEXO XI;8;1.6;"Serviço de 
			localização de dispositivo perdido ou furtado, para proteção de 
			informações pessoais";"pendente de 
			classificação";;;
ANEXO XI;9;1.7;"Serviço de 
			bloqueio de dispositivo perdido ou furtado, para proteção de 
			informações pessoais";"pendente de 
			classificação";;;
ANEXO XI;10;1.8;(VETADO);"pendente de 
			classificação";;;
ANEXO XI;11;1.9;(VETADO);"pendente de 
			classificação";;;
ANEXO XI;12;1.10;"Serviço de 
			monitoramento de uso de dados pessoais e corporativos em redes do 
			tipo onion";"pendente de 
			classificação";;;
ANEXO XI;13;1.11;"Serviço de 
			conexão protegida e criptografada para dispositivos";"pendente de 
			classificação";;;
ANEXO XI;14;1.12;"Identificação 
			e alerta de arquivos maliciosos ou alterações indevidas em 
			dispositivos, que permitam o acesso a informações";"pendente de 
			classificação";;;
ANEXO XI;15;1.13;"Serviços de 
			manutenção e reparação de veículos militares para uso pela segurança 
			nacional";1.2001.35.00;;;
ANEXO XI;16;1.14;"Serviços de 
			manutenção e reparação de equipamentos militares para uso pela 
			segurança nacional";1.2001.83.00;;;
ANEXO XI;17;2;"BENS RELACIONADOS À 
			SOBERANIA E À SEGURANÇA NACIONAL, À SEGURANÇA DA INFORMAÇÃO E À 
			SEGURANÇA CIBERNÉTICA";;;;
ANEXO XI;18;2.1;"Viatura 
			operacional militar e também suas partes e peças";8709;;;
ANEXO XI;19;2.2;"Carro 
			blindado e carro de combate, terrestre ou anfíbio, sobre lagartas ou 
			rodas, com ou sem armamento e também suas partes e peças";8710.00.00;;;
ANEXO XI;20;2.3;"Outros 
			veículos de qualquer tipo, para uso pelos órgãos de Segurança 
			Pública e das Forças Armadas, com especificação própria dos Órgãos 
			Militares e de Segurança Pública e também suas partes e peças";8709;;;
ANEXO XI;21;2.4;"Simuladores 
			de veículos militares";9031.80.99;;;
ANEXO XI;22;2.5;"Tratores de 
			baixa ou de alta velocidades, para uso pelos órgãos de Segurança 
			Pública e das Forças Armadas, sobre lagartas ou rodas, destinados às 
			unidades de engenharia ou de artilharia, para obras ou para rebocar 
			equipamentos pesados e também suas partes e peças";8701;;;
ANEXO XI;23;2.6;"Radares para 
			uso militar";8526.10.00;;;
ANEXO XI;24;2.7;"Foguetes para 
			uso militar";9301.20.00;;;
ANEXO XI;25;2.8;"Explosivos de 
			emprego militar";3602.00.00 9306;;;
ANEXO XI;26;2.9;Optrônicos;8525.89.29;;;
ANEXO XI;27;2.10;"Rações 
			operacionais";2106.90.30;;;
ANEXO XI;28;2.11;"Minas 
			marítimas";9306;;;
ANEXO XI;29;2.12;"Cartuchos de 
			munição naval e de artilharia e seus componentes (projétil, estojo, 
			estopilha, espoleta, traçador, pólvora e alto-explosivo), de calibre 
			igual ou superior a 40 mm de diâmetro interno de tubo da arma";9306.2;;;
ANEXO XI;30;2.13;"Bombas, 
			torpedos, minas, mísseis, foguetes e seus componentes";9306;;;
ANEXO XI;31;2.14;"Aeronaves, 
			inclusive Veículo Aéreo Não Tripulado (VANT) para uso pela segurança 
			nacional e também suas partes e peças";8802 e 8806;;;
ANEXO XI;32;2.15;"Veículos 
			espaciais para uso pela segurança nacional";8802.60.00;;;
ANEXO XI;33;2.16;"Paraquedas 
			para uso pela segurança nacional";8804.00.00;;;
ANEXO XI;34;2.17;"Aparelhos e 
			dispositivos para lançamento e aterrissagem de veículos aéreos e 
			espaciais para uso pela segurança nacional";8805.10.00;;;
ANEXO XI;35;2.18;"Simuladores 
			de voo e similares para uso pela segurança nacional";8805.21.00;;;
ANEXO XI;36;2.19;"Equipamentos 
			de apoio no solo para uso pela segurança nacional";8805;;;
ANEXO XI;37;2.20;"Equipamentos 
			de auxílio à comunicação, navegação e controle de tráfego aéreo para 
			uso pela segurança nacional";9014.20;;;
ANEXO XI;38;2.21;"Embarcações 
			construídas no País suas peças, partes e componentes utilizados no 
			reparo, conserto e reconstrução de embarcações";8901.20.00 8906.10.00;;;
ANEXO XI;39;2.22;"Dispositivos 
			destinados a prover a segurança da informação do tipo Prevenção de 
			Intrusão (IPS)";8517.62.59;;;
ANEXO XI;40;2.23;"Dispositivos 
			destinados a prover a segurança da informação do tipo de Detecção de 
			Intrusão (IDS)";8517.62.59;;;
ANEXO XI;41;2.24;"Dispositivos 
			de Autenticação (tokens, leitores biométricos) que garantam a 
			segurança da informação/cibernética";8523.52 8471.90.14;;;
