anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO XIV;1;ITEM;DESCRIÇÃO;NCM/SH;;;
ANEXO XIV;2;1;ABACAVIR;3004.90.69;;;
ANEXO XIV;3;2;ABEMACICLIBE;3004.90.69;;;
ANEXO XIV;4;3;ACALABRUTINIBE;3004.90.69;;;
ANEXO XIV;5;4;"ACEPONATO DE 
			METILPREDNISOLONA";3004.32.10;;;
ANEXO XIV;6;5;ACETATO DE ABIRATERONA;3004.32.90;;;
ANEXO XIV;7;6;ACETATO DE CIPROTERONA;3004.39.39;;;
ANEXO XIV;8;7;ACETATO DE DEGARELIX;3004.39.29;;;
ANEXO XIV;9;8;ACETATO DE GOSSERRELINA;3004.39.27;;;
ANEXO XIV;10;9;ACETATO DE LEUPRORRELINA;3004.39.19;;;
ANEXO XIV;11;10;ACETATO DE MEGESTROL;3004.39.36;;;
ANEXO XIV;12;11;ACETATO DE OCTREOTIDA;3004.39.29;;;
ANEXO XIV;13;12;ACETATO DE TRIPTORRELINA;3004.39.18;;;
ANEXO XIV;14;13;ACETATO DESMOPRESSINA;3004.39.29;;;
ANEXO XIV;15;14;ÁCIDO FOLÍNICO (FÓLICO);3004.50.90;;;
ANEXO XIV;16;15;ÁCIDO TRANEXÂMICO;3004.90.39;;;
ANEXO XIV;17;16;ÁCIDO ZOLEDRÔNICO;3004.90.69;;;
ANEXO XIV;18;17;ACITRETINA;3004.90.29;;;
ANEXO XIV;19;18;AFLIBERCEPTE;3002.15.90;;;
ANEXO XIV;20;19;ALBINTERFERONA ALFA-2B;3002.15.90;;;
ANEXO XIV;21;20;ALBUMINA HUMANA;3002.12.39;;;
ANEXO XIV;22;21;ALENDRONATO DE SÓDIO;3004.90.59;;;
ANEXO XIV;23;22;ALENTUZUMABE;3002.15.90;;;
ANEXO XIV;24;23;ALFA-ALGLICOSIDASE;3004.90.19;;;
ANEXO XIV;25;24;ALFAELOSULFASE;3004.90.19;;;
ANEXO XIV;26;25;ALFAEPOETINA;3002.12.39;;;
ANEXO XIV;27;26;ALFAINTERFERONA;3002.15.90;;;
ANEXO XIV;28;27;ALFAPEGINTERFERONA 2A;3002.15.10;;;
ANEXO XIV;29;28;ALFAPEGINTERFERONA 2B;3002.15.90;;;
ANEXO XIV;30;29;ALFATIROTROPINA;3004.39.29;;;
ANEXO XIV;31;30;ALFAVESTRONIDASE;3004.90.19;;;
ANEXO XIV;32;31;ALPELISIBE;3004.90.79;;;
ANEXO XIV;33;32;ALTEPLASE;3004.90.19;;;
ANEXO XIV;34;33;AMBRISENTANA;3004.90.79;;;
ANEXO XIV;35;34;AMIFOSTINA;3004.90.59;;;
ANEXO XIV;36;35;ANASTROZOL;3004.90.69;;;
ANEXO XIV;37;36;ANFOTERICINA B;3004.20.99;;;
ANEXO XIV;38;37;"ANFOTERICINA B EM 
			LIPOSSOMAS";3004.20.95;;;
ANEXO XIV;39;38;ANTIMONIAL PENTAVALENTE;3004.90.29;;;
ANEXO XIV;40;39;APALUTAMIDA;3004.90.69;;;
ANEXO XIV;41;40;APREPITANTO;3004.90.78;;;
ANEXO XIV;42;41;ARTEMÉTER;3004.60.00;;;
ANEXO XIV;43;42;ARTEMÉTER + LUMEFANTRINA;3004.60.00;;;
ANEXO XIV;44;43;"ARTESUNATO + CLORIDRATO 
			MEFLOQUINA";3004.60.00;;;
ANEXO XIV;45;44;ARTESUNATO DE SÓDIO;3004.60.00;;;
ANEXO XIV;46;45;ASPARAGINASE;3004.90.12;;;
ANEXO XIV;47;46;ATENOLOL;3004.90.42;;;
ANEXO XIV;48;47;ATEZOLIZUMABE;3002.15.90;;;
ANEXO XIV;49;48;AVELUMABE;3002.15.90;;;
ANEXO XIV;50;49;AXITINIBE;3004.90.69;;;
ANEXO XIV;51;50;AZACITIDINA;3004.90.79;;;
ANEXO XIV;52;51;AZATIOPRINA;3004.90.66;;;
ANEXO XIV;53;52;BARICITINIBE;3004.90.79;;;
ANEXO XIV;54;53;BENZONIDAZOL;3004.90.69;;;
ANEXO XIV;55;54;BESILATO DE ANLODIPINO;3004.90.69;;;
ANEXO XIV;56;55;BETAEPOETINA;3002.12.39;;;
ANEXO XIV;57;56;BEVACIZUMABE;3002.15.20;;;
ANEXO XIV;58;57;BICALUTAMIDA;3004.90.59;;;
ANEXO XIV;59;58;BIOTINA;2936.29.31;;;
ANEXO XIV;60;59;BLINATUMOMABE;3002.15.90;;;
ANEXO XIV;61;60;BORTEZOMIBE;3004.90.68;;;
ANEXO XIV;62;61;BRENTUXIMABE VEDOTINA;3002.15.90;;;
ANEXO XIV;63;62;BRIGATINIBE;3004.90.69;;;
ANEXO XIV;64;63;BROMETO DE IPRATRÓPIO;3004.49.90;;;
ANEXO XIV;65;64;BUDESONIDA;3004.39.99;;;
ANEXO XIV;66;65;BUROSUMABE;3002.15.80;;;
ANEXO XIV;67;66;BUSSULFANO;3004.90.95;;;
ANEXO XIV;68;67;CABAZITAXEL;3004.90.59;;;
ANEXO XIV;69;68;CAPECITABINA;3004.90.79;;;
ANEXO XIV;70;69;CARBIDOPA + LEVODOPA;3004.90.35;;;
ANEXO XIV;71;70;CARBOPLATINA;3004.90.99;;;
ANEXO XIV;72;71;CARFILZOMIBE;3004.90.79;;;
ANEXO XIV;73;72;CARMUSTINA;3004.90.48;;;
ANEXO XIV;74;73;CEFALOTINA;3004.20.59;;;
ANEXO XIV;75;74;CEFOXITINA;3004.20.59;;;
ANEXO XIV;76;75;CEFTAZIDIMA;3004.20.59;;;
ANEXO XIV;77;76;CELECOXIBE;3004.90.79;;;
ANEXO XIV;78;77;CETUXIMABE;3002.15.90;;;
ANEXO XIV;79;78;CICLOFOSFAMIDA;3004.90.79;;;
ANEXO XIV;80;79;"CILASTATINA SÓDICA + 
			IMIPENEM";3004.20.94;;;
ANEXO XIV;81;80;CISPLATINA;3004.90.99;;;
ANEXO XIV;82;81;CITARABINA;3004.90.79;;;
ANEXO XIV;83;82;CITRATO DE IXAZOMIBE;3004.90.59;;;
ANEXO XIV;84;84;CITRATO DE TAMOXIFENO;3004.90.34;;;
ANEXO XIV;85;85;CLADRIBINA;3004.90.79;;;
ANEXO XIV;86;86;CLODRONATO DISSÓDICO;3004.90.58;;;
ANEXO XIV;87;87;CLOFAZIMINA;3004.90.69;;;
ANEXO XIV;88;88;CLORAMBUCILA;3004.90.38;;;
ANEXO XIV;89;89;"CLORETO DE RÁDIO (223 
			RA)";2844.42.00;;;
ANEXO XIV;90;90;CLORETO DE SÓDIO;2501.00.90;;;
ANEXO XIV;91;91;CLORETO DE SUXAMETÔNIO;3004.90.99;;;
ANEXO XIV;92;92;CLORIDRATO DE ALECTINIBE;3004.90.79;;;
ANEXO XIV;93;93;"CLORIDRATO DE 
			ALFENTANILA MONOIDRATADA";3004.90.69;;;
ANEXO XIV;94;94;"CLORIDRATO DE 
			AMINOLEVULINATO DE METILA";3004.90.39;;;
ANEXO XIV;95;95;"CLORIDRATO DE 
			CINACALCETE";3004.90.39;;;
ANEXO XIV;96;96;"CLORIDRATO DE 
			DAUNORRUBICINA";3004.20.69;;;
ANEXO XIV;97;97;CLORIDRATO DE DOBUTAMINA;3004.90.39;;;
ANEXO XIV;98;98;"CLORIDRATO DE 
			DOXORRUBICINA";3004.20.69;;;
ANEXO XIV;99;99;"CLORIDRATO DE 
			EPIRRUBICINA";3004.20.99;;;
ANEXO XIV;100;100;CLORIDRATO DE ERLOTINIBE;3004.90.68;;;
ANEXO XIV;101;101;"CLORIDRATO DE 
			FINGOLIMODE";3004.90.39;;;
ANEXO XIV;102;102;"CLORIDRATO DE 
			GENCITABINA";3004.90.78;;;
ANEXO XIV;103;103;"CLORIDRATO DE 
			GRANISSETRONA";3004.49.90;;;
ANEXO XIV;104;104;"CLORIDRATO DE 
			IDARRUBICINA";3004.20.69;;;
ANEXO XIV;105;105;"CLORIDRATO DE 
			IRINOTECANO";3004.49.90;;;
ANEXO XIV;106;106;"CLORIDRATO DE 
			IRINOTECANO TRI-HIDRATADO";3004.49.90;;;
ANEXO XIV;107;107;"CLORIDRATO DE 
			METOCLOPRAMIDA";3004.90.41;;;
ANEXO XIV;108;108;"CLORIDRATO DE 
			MITOXANTRONA";3004.90.39;;;
ANEXO XIV;109;109;"CLORIDRATO DE 
			PALONOSETRONA";3004.90.69;;;
ANEXO XIV;110;110;CLORIDRATO DE PAZOPANIBE;3004.90.79;;;
ANEXO XIV;111;111;CLORIDRATO DE PIRIDOXINA;3004.50.90;;;
ANEXO XIV;112;112;CLORIDRATO DE PONATINIBE;3004.90.69;;;
ANEXO XIV;113;113;CLORIDRATO DE TOPOTECANA;3004.49.10;;;
ANEXO XIV;114;114;"CLORIDRATO DE 
			ZIPRASIDONA MONOIDRATADO";3004.90.79;;;
ANEXO XIV;115;115;COMPLEXO PROTROMBÍNICO PARCIALMENTE ATIVADO;3002.12.39;;;
