anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO I;1;"Receita Bruta em 12 
			Meses (em R$)";Alíquota;Valor a Deduzir (em R$);;;
ANEXO I;2;1ª Faixa;Até 180.000,00;4,00%;;;
ANEXO I;3;2ª Faixa;"De 180.000,01 a 
			360.000,00";7,30%;;;
ANEXO I;4;3ª Faixa;"De 360.000,01 a 
			720.000,00";9,50%;;;
ANEXO I;5;4ª Faixa;"De 720.000,01 a 
			1.800.000,00";10,70%;;;
ANEXO I;6;5ª Faixa;"De 1.800.000,01 a 
			3.600.000,00";14,30%;;;
ANEXO I;7;6ª Faixa;"De 3.600.000,01 a 
			4.800.000,00";18,90%;;;
ANEXO I;8;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO I;9;;IRPJ;CSLL;;;
ANEXO I;10;1ª Faixa;5,50%;3,50%;;;
ANEXO I;11;2ª Faixa;5,50%;3,50%;;;
ANEXO I;12;3ª Faixa;5,50%;3,50%;;;
ANEXO I;13;4ª Faixa;5,50%;3,50%;;;
ANEXO I;14;5ª Faixa;5,50%;3,50%;;;
ANEXO I;15;6ª Faixa;13,58%;10,06%;;;
ANEXO I;16;"Receita Bruta em 12 
			Meses (em R$)";Alíquota;Valor a Deduzir (em R$);;;
ANEXO I;17;1ª Faixa;Até 180.000,00;4,00%;;;
ANEXO I;18;2ª Faixa;"De 180.000,01 a 
			360.000,00";7,30%;;;
ANEXO I;19;3ª Faixa;"De 360.000,01 a 
			720.000,00";9,50%;;;
ANEXO I;20;4ª Faixa;"De 720.000,01 a 
			1.800.000,00";10,70%;;;
ANEXO I;21;5ª Faixa;"De 1.800.000,01 a 
			3.600.000,00";14,30%;;;
ANEXO I;22;6ª Faixa;"De 3.600.000,01 a 
			4.800.000,00";19,00%;;;
ANEXO I;23;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO I;24;;IRPJ;CSLL;;;
ANEXO I;25;1ª Faixa;5,50%;3,50%;;;
ANEXO I;26;2ª Faixa;5,50%;3,50%;;;
ANEXO I;27;3ª Faixa;5,50%;3,50%;;;
ANEXO I;28;4ª Faixa;5,50%;3,50%;;;
ANEXO I;29;5ª Faixa;5,50%;3,50%;;;
ANEXO I;30;6ª Faixa;13,50%;10,00%;;;
ANEXO I;31;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO I;32;;IRPJ;CSLL;;;
ANEXO I;33;1ª Faixa;5,50%;3,50%;;;
ANEXO I;34;2ª Faixa;5,50%;3,50%;;;
ANEXO I;35;3ª Faixa;5,50%;3,50%;;;
ANEXO I;36;4ª Faixa;5,50%;3,50%;;;
ANEXO I;37;5ª Faixa;5,50%;3,50%;;;
ANEXO I;38;6ª Faixa;13,50%;10,00%;;;
ANEXO I;39;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO I;40;;IRPJ;CSLL;;;
ANEXO I;41;1ª Faixa;5,50%;3,50%;;;
ANEXO I;42;2ª Faixa;5,50%;3,50%;;;
ANEXO I;43;3ª Faixa;5,50%;3,50%;;;
ANEXO I;44;4ª Faixa;5,50%;3,50%;;;
ANEXO I;45;5ª Faixa;5,50%;3,50%;;;
ANEXO I;46;6ª Faixa;13,50%;10,00%;;;
ANEXO I;47;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO I;48;;IRPJ;CSLL;;;
ANEXO I;49;1ª Faixa;5,50%;3,50%;;;
ANEXO I;50;2ª Faixa;5,50%;3,50%;;;
ANEXO I;51;3ª Faixa;5,50%;3,50%;;;
ANEXO I;52;4ª Faixa;5,50%;3,50%;;;
ANEXO I;53;5ª Faixa;5,50%;3,50%;;;
ANEXO I;54;6ª Faixa;13,50%;10,00%;;;
ANEXO I;55;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO I;56;;IRPJ;CSLL;;;
ANEXO I;57;1ª Faixa;5,50%;3,50%;;;
ANEXO I;58;2ª Faixa;5,50%;3,50%;;;
ANEXO I;59;3ª Faixa;5,50%;3,50%;;;
ANEXO I;60;4ª Faixa;5,50%;3,50%;;;
ANEXO I;61;5ª Faixa;5,50%;3,50%;;;
ANEXO I;62;6ª Faixa;13,50%;10,00%;;;
