anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO II;1;"Receita Bruta em 12 
			Meses (em R$)";Alíquota;Valor a Deduzir (em R$);;;
ANEXO II;2;1ª Faixa;Até 180.000,00;4,50%;;;
ANEXO II;3;2ª Faixa;"De 180.000,01 a 
			360.000,00";7,80%;;;
ANEXO II;4;3ª Faixa;"De 360.000,01 a 
			720.000,00";10,00%;;;
ANEXO II;5;4ª Faixa;"De 720.000,01 a 
			1.800.000,00";11,20%;;;
ANEXO II;6;5ª Faixa;"De 1.800.000,01 a 
			3.600.000,00";14,70%;;;
ANEXO II;7;6ª Faixa;"De 3.600.000,01 a 
			4.800.000,00";29,90%;;;
ANEXO II;8;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO II;9;;IRPJ;CSLL;;;
ANEXO II;10;1ª Faixa;5,50%;3,50%;;;
ANEXO II;11;2ª Faixa;5,50%;3,50%;;;
ANEXO II;12;3ª Faixa;5,50%;3,50%;;;
ANEXO II;13;4ª Faixa;5,50%;3,50%;;;
ANEXO II;14;5ª Faixa;5,50%;3,50%;;;
ANEXO II;15;6ª Faixa;8,53%;7,53%;;;
ANEXO II;16;"Receita Bruta em 12 
			Meses (em R$)";Alíquota;Valor a Deduzir (em R$);;;
ANEXO II;17;1ª Faixa;Até 180.000,00;4,50%;;;
ANEXO II;18;2ª Faixa;"De 180.000,01 a 
			360.000,00";7,80%;;;
ANEXO II;19;3ª Faixa;"De 360.000,01 a 
			720.000,00";10,00%;;;
ANEXO II;20;4ª Faixa;"De 720.000,01 a 
			1.800.000,00";11,20%;;;
ANEXO II;21;5ª Faixa;"De 1.800.000,01 a 
			3.600.000,00";14,70%;;;
ANEXO II;22;6ª Faixa;"De 3.600.000,01 a 
			4.800.000,00";30,00%;;;
ANEXO II;23;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO II;24;;IRPJ;CSLL;;;
ANEXO II;25;1ª Faixa;5,50%;3,50%;;;
ANEXO II;26;2ª Faixa;5,50%;3,50%;;;
ANEXO II;27;3ª Faixa;5,50%;3,50%;;;
ANEXO II;28;4ª Faixa;5,50%;3,50%;;;
ANEXO II;29;5ª Faixa;5,50%;3,50%;;;
ANEXO II;30;6ª Faixa;8,50%;7,50%;;;
ANEXO II;31;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO II;32;;IRPJ;CSLL;;;
ANEXO II;33;1ª Faixa;5,50%;3,50%;;;
ANEXO II;34;2ª Faixa;5,50%;3,50%;;;
ANEXO II;35;3ª Faixa;5,50%;3,50%;;;
ANEXO II;36;4ª Faixa;5,50%;3,50%;;;
ANEXO II;37;5ª Faixa;5,50%;3,50%;;;
ANEXO II;38;6ª Faixa;8,50%;7,50%;;;
ANEXO II;39;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO II;40;;IRPJ;CSLL;;;
ANEXO II;41;1ª Faixa;5,50%;3,50%;;;
ANEXO II;42;2ª Faixa;5,50%;3,50%;;;
ANEXO II;43;3ª Faixa;5,50%;3,50%;;;
ANEXO II;44;4ª Faixa;5,50%;3,50%;;;
ANEXO II;45;5ª Faixa;5,50%;3,50%;;;
ANEXO II;46;6ª Faixa;8,50%;7,50%;;;
ANEXO II;47;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO II;48;;IRPJ;CSLL;;;
ANEXO II;49;1ª Faixa;5,50%;3,50%;;;
ANEXO II;50;2ª Faixa;5,50%;3,50%;;;
ANEXO II;51;3ª Faixa;5,50%;3,50%;;;
ANEXO II;52;4ª Faixa;5,50%;3,50%;;;
ANEXO II;53;5ª Faixa;5,50%;3,50%;;;
ANEXO II;54;6ª Faixa;8,50%;7,50%;;;
ANEXO II;55;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO II;56;;IRPJ;CSLL;;;
ANEXO II;57;1ª Faixa;5,50%;3,50%;;;
ANEXO II;58;2ª Faixa;5,50%;3,50%;;;
ANEXO II;59;3ª Faixa;5,50%;3,50%;;;
ANEXO II;60;4ª Faixa;5,50%;3,50%;;;
ANEXO II;61;5ª Faixa;5,50%;3,50%;;;
ANEXO II;62;6ª Faixa;8,50%;7,50%;;;
