anexo;linha;ncm;descricao;aliquota;observacao;vigencia_inicio;vigencia_fim
ANEXO V;1;"Receita Bruta em 12 
			Meses (em R$)";Alíquota;Valor a Deduzir (em R$);;;
ANEXO V;2;1ª Faixa;Até 180.000,00;15,50%;;;
ANEXO V;3;2ª Faixa;"De 180.000,01 a 
			360.000,00";18,00%;;;
ANEXO V;4;3 a Faixa;"De 360.000,01 a 
			720.000,00";19,50%;;;
ANEXO V;5;4ª Faixa;"De 720.000,01 a 
			1.800.000,00";20,50%;;;
ANEXO V;6;5ª Faixa;"De 1.800.000,01 a 
			3.600.000,00";23,00%;;;
ANEXO V;7;6ª Faixa;"De 3.600.000,01 a 
			4.800.000,00";30,40%;;;
ANEXO V;8;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO V;9;;IRPJ;CSLL;;;
ANEXO V;10;1ª Faixa;25,00%;15,00%;;;
ANEXO V;11;2ª Faixa;23,00%;15,00%;;;
ANEXO V;12;3ª Faixa;24,00%;15,00%;;;
ANEXO V;13;4ª Faixa;21,00%;15,00%;;;
ANEXO V;14;5ª Faixa;23,00%;12,50%;;;
ANEXO V;15;6ª Faixa;35,10%;15,54%;;;
ANEXO V;16;"Receita Bruta em 12 
			Meses (em R$)";Alíquota;Valor a Deduzir (em R$);;;
ANEXO V;17;1ª Faixa;Até 180.000,00;15,50%;;;
ANEXO V;18;2ª Faixa;"De 180.000,01 a 
			360.000,00";18,00%;;;
ANEXO V;19;3ª Faixa;"De 360.000,01 a 
			720.000,00";19,50%;;;
ANEXO V;20;4ª Faixa;"De 720.000,01 a 
			1.800.000,00";20,50%;;;
ANEXO V;21;5ª Faixa;"De 1.800.000,01 a 
			3.600.000,00";23,00%;;;
ANEXO V;22;6ª Faixa;"De 3.600.000,01 a 
			4.800.000,00";30,50%;;;
ANEXO V;23;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO V;24;;IRPJ;CSLL;;;
ANEXO V;25;1ª Faixa;25,00%;15,00%;;;
ANEXO V;26;2ª Faixa;23,00%;15,00%;;;
ANEXO V;27;3ª Faixa;24,00%;15,00%;;;
ANEXO V;28;4ª Faixa;21,00%;15,00%;;;
ANEXO V;29;5ª Faixa;23,00%;12,50%;;;
ANEXO V;30;6ª Faixa;35,00%;15,50%;;;
ANEXO V;31;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO V;32;;IRPJ;CSLL;;;
ANEXO V;33;1ª Faixa;25,00%;15,00%;;;
ANEXO V;34;2ª Faixa;23,00%;15,00%;;;
ANEXO V;35;3ª Faixa;24,00%;15,00%;;;
ANEXO V;36;4ª Faixa;21,00%;15,00%;;;
ANEXO V;37;5ª Faixa;23,00%;12,50%;;;
ANEXO V;38;6ª Faixa;35,00%;15,50%;;;
ANEXO V;39;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO V;40;;IRPJ;CSLL;;;
ANEXO V;41;1ª Faixa;25,00%;15,00%;;;
ANEXO V;42;2ª Faixa;23,00%;15,00%;;;
ANEXO V;43;3ª Faixa;24,00%;15,00%;;;
ANEXO V;44;4ª Faixa;21,00%;15,00%;;;
ANEXO V;45;5ª Faixa;23,00%;12,50%;;;
ANEXO V;46;6ª Faixa;35,00%;15,50%;;;
ANEXO V;47;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO V;48;;IRPJ;CSLL;;;
ANEXO V;49;1ª Faixa;25,00%;15,00%;;;
ANEXO V;50;2ª Faixa;23,00%;15,00%;;;
ANEXO V;51;3ª Faixa;24,00%;15,00%;;;
ANEXO V;52;4ª Faixa;21,00%;15,00%;;;
ANEXO V;53;5ª Faixa;23,00%;12,50%;;;
ANEXO V;54;6ª Faixa;35,00%;15,50%;;;
ANEXO V;55;Faixas;"Percentual de Repartição 
			dos Tributos";;;;
ANEXO V;56;;IRPJ;CSLL;;;
ANEXO V;57;1ª Faixa;25,00%;15,00%;;;
ANEXO V;58;2ª Faixa;23,00%;15,00%;;;
ANEXO V;59;3ª Faixa;24,00%;15,00%;;;
ANEXO V;60;4ª Faixa;21,00%;15,00%;;;
ANEXO V;61;5ª Faixa;23,00%;12,50%;;;
ANEXO V;62;6ª Faixa;35,00%;15,50%;;;
